Species	Tissue	CellType	Marker	Resource
Human	Liver	Hepatocyte	ALB, APOC3, ORM1, Albumin family, CYP3A4, KRT18, SERPINA1, TTR, HNF4A, KRT8, AFP, CYP2E1, SPINK1, APOA1, CYP2A7, GHR, HPX, MLXIPL, SOX9, ABCC2, ACSS2, AKR1C1, ALDH6A1, ANPEP, AOX1, APOA2, ARG1, ASGR2, ASRGL1, ATRNL1, BCHE, BCL2, C3, CCL27, CPS1, CYP2A6, CYP2B6, CYP2C9, CYP3A7, CYP4F3, DCXR, F2, FABP1, FGA, FGG, FOXO3, G6PC1, GATA6, GLUL, GPC6, GSTA2, HAL, HAMP, HMGCS1, HNF1B, HP, HPGD, HPR, HSD11B1, MASP2, MME, ONECUT1, P49715, PCK1, PDLIM3, POU5F1, PROM1, RND3, RPP25L, RUNX2, SCD, SEC16B, SLBP, SLPI, SOX6, TAT, TF, TFF3, TJP1, TM7SF2	34792289, 34497364, 35183972, 36460793, 30272835, 32976798, 35903097, 34027339, 33968947, 36111491, 30348985, 34453962, 34463757, 35581624, 32505533, 35688820, 26407160, 29990377, 29527264, 27909741, 27150549, 26969740, 26838674, 26756674, 26541667, 16187169, 15502859, 15209862, 7499787, 1432359, 15968722, 28614297
Human	Liver	ILC1	CD3D, TRBC2, ZNF683	34340996
Human	Liver	Immature B cell	CD19	33248023
Human	Liver	Inflammatory CAF	CXCL12, PDGFRA	35184420
Human	Liver	Intrahepatic cholangiocyte	BICC1, DCDC2, SOX4	33602855
Human	Liver	Kupffer cell	CD68, CD5L, VCAM1, CD163, MARCO, CD14, S100A8, S100A9, TIMD4, VSIG4, ARL4C, C1QA, C1QB, CETP, CLEC4F, FCGR2A, FCGR2B, FCGR2C, HLA-DPB1, ITGAM, ITGB2, LYZ, MERTK, NR1H3, SIGLEC1	34497364, 35549406, 33248023, 34027339, 30348985, 33332768, 35619708, 35688820, 17692868, 26407160, 29580318, 29525783, 15504057
Human	Liver	Large pre-B cell	CD24, MKI67, MME	35549406
Human	Liver	Late erythrocyte	GYPA, GYPB, HBA1	35549406
Human	Liver	Lymphoid tissue–inducer cell	AHR, IL7R, KIT, LTB, SELL, TCF7	33248023
Human	Liver	Macrophage	CD68, LYZ, C1QA, CD163, CD14, CST3, CTSB, C1QB, CD74, LGMN, MARCO, APOC1, APOE, FABP5, FCGR3A, ITGAM, PTPRC, S100A8, SIGLEC1, SLC40A1, SPP1, ADGRE1, CCL18, CCL4, CCL4L2, CD5L, CD69, CEBPB, CNTNAP2, CTSD, CTSS, FCER1G, FCN1, GPNMB, HLA-DQB1, HMOX1, IGFBP4, LST1, MAF, MKI67, MMP9, MSR1, MT-ATP6, MT-CO3, MT-ND2, PCLAF, RAB31, S100A4, S100A6, S100A9, SAT1, SDC3, SELENOP, STMN1, THBS1, TMEM176B, TREM2, TUBA1B, VCAM1, VCAN, VSIG4	34792289, 33287869, 35183972, 35184420, 32214235, 32663198, 34140495, 34340996, 32976798, 31675496, 35964553, 36111491, 30348985, 33332768, 33411796, 34453962, 35619708, 32505533, 35549310
