,meanAbundance,Variance,select,prevalence,prevalence_0,prevalence_1,featureID
12767,0.55320436,0.4729825,No selected,0.5734964889105194,0.5617087232378248,0.8559527941686914,FAM177A1
12768,0.11264662,0.07771016,No selected,0.21430855871514984,0.20033606628617784,0.5491148906629643,PPP2R3C
12769,0.0036000162,0.0028246078,No selected,0.007453243412361816,0.006909638728742359,0.020479000347101702,KIAA0391
12770,0.14161566,0.09557738,No selected,0.25448098449558504,0.2392154590491642,0.6202707393266227,PSMA6
12771,1.1815228,1.0081936,No selected,0.7671000486685671,0.7643769736651506,0.8323498785144047,NFKBIA
12772,0.1193795,0.11018142,No selected,0.16334561635263853,0.16132630298113973,0.2117320374869837,RALGAPA1
12773,0.00041285888,0.00030435206,No selected,0.00108461378015713,0.00099950748906336,0.0031239153071850054,RP11-317N8.5
12774,0.025878698,0.01841173,No selected,0.06264339845651117,0.05406031810412261,0.2683096147171121,BRMS1L
12775,0.050287258,0.032603662,No selected,0.12143502746297713,0.10839586290813222,0.4338771259979174,MBIP
12776,0.0028808787,0.0012704795,No selected,0.011805603837864146,0.009908161195932439,0.0572717806317251,SLC25A21-AS1
12777,0.0058187367,0.002924214,No selected,0.02130292706667594,0.01723788278239708,0.1187087816730302,MIPOL1
12778,0.011529218,0.0051026735,No selected,0.0423416533407495,0.0346061361068459,0.22769871572370703,FOXA1
12779,0.047620725,0.058471523,No selected,0.04884933602169227,0.05046788538980792,0.010065949323151684,CLEC14A
12780,0.0006952927,0.0004679558,No selected,0.0014461517068761732,0.0015065040414868037,0.0,LINC00639
12781,0.12014416,0.0727711,No selected,0.24316206632830425,0.2261639192282064,0.6504685872960777,SEC23A
12782,0.00078463816,0.00041198038,No selected,0.002753250365014253,0.0023611553727148943,0.012148559527941687,RP11-545M17.1
12783,0.029323954,0.017769579,No selected,0.07919071125634429,0.06580815250456297,0.3998611593196807,GEMIN2
12784,0.04825277,0.03308852,No selected,0.1062504345407773,0.09811107570182809,0.30128427629295385,TRAPPC6B
12785,0.21317062,0.13822743,No selected,0.3441562956267816,0.3246081640930556,0.8125650815688997,PNN
12786,0.0024087143,0.0009523789,No selected,0.010428978655357019,0.008923139322652606,0.046511627906976744,MIA2
12787,0.03672824,0.024222033,No selected,0.08977264826531321,0.08290117912912479,0.25442554668517875,CTAGE5
12788,0.002096588,0.0014702756,No selected,0.004894667315580894,0.004649882666512154,0.010760152724748352,RP11-407N17.5
12789,0.04088326,0.03247598,No selected,0.07678509351317528,0.0731813309383782,0.16313779937521694,FBXO33
12790,0.014068972,0.0086533595,No selected,0.03750260724466384,0.03596778399049744,0.07427976397084346,C14orf28
12791,0.051345523,0.039471097,No selected,0.09885281234791073,0.09302662456181013,0.2384588684484554,KLHL28
12792,0.031129995,0.020933364,No selected,0.07417089619689912,0.06793753802474144,0.22353349531412703,FAM179B
12793,0.024030289,0.016596155,No selected,0.05790168949454217,0.05156879218935597,0.20964942728219368,PRPF39
12794,0.20446657,0.1165227,No selected,0.3495932698324411,0.3277660283338645,0.8726136758070114,FKBP3
12795,0.0076118046,0.0051454687,No selected,0.020468608774247374,0.016875742387808906,0.1065602221450885,FANCM
12796,0.08596312,0.06387516,No selected,0.14970451227143156,0.1403076744792421,0.3748698368622006,MIS18BP1
12797,6.895197e-05,2.8274399e-05,No selected,0.00027810609747618714,0.00026074108410348523,0.0006942034015966678,RP11-816J8.1
12798,2.758056,0.5952902,No selected,0.9959674615865953,0.9958281426543443,0.9993057965984034,RPS29
