names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000168961,212.15059,4.4282775,0.0,0.0
ENSG00000137462,212.14967,6.6175313,0.0,0.0
ENSG00000130592,211.59187,4.682656,0.0,0.0
ENSG00000115310,211.51643,3.8598402,0.0,0.0
ENSG00000166340,211.4419,4.0366592,0.0,0.0
ENSG00000205542,211.42146,72.10506,0.0,0.0
ENSG00000023902,211.36496,4.1828313,0.0,0.0
ENSG00000133246,210.77147,5.822546,0.0,0.0
ENSG00000156411,210.49329,4.4216313,0.0,0.0
ENSG00000112799,209.98573,4.323709,0.0,0.0
ENSG00000188641,209.46469,4.3990426,0.0,0.0
ENSG00000087074,209.25351,9.042657,0.0,0.0
ENSG00000143549,208.87527,7.4151917,0.0,0.0
ENSG00000091317,208.85437,3.899635,0.0,0.0
ENSG00000216490,208.645,7.0483007,0.0,0.0
ENSG00000169564,208.58109,4.6014075,0.0,0.0
ENSG00000100644,207.86385,5.3062634,0.0,0.0
ENSG00000147894,207.57199,4.614943,0.0,0.0
ENSG00000140379,207.1059,9.129277,0.0,0.0
ENSG00000140105,207.05351,5.2387433,0.0,0.0
ENSG00000249437,206.96043,4.973493,0.0,0.0
ENSG00000196924,206.68275,4.366641,0.0,0.0
ENSG00000086300,206.47041,4.2237716,0.0,0.0
ENSG00000167470,206.30916,4.309473,0.0,0.0
ENSG00000136250,206.29831,4.178695,0.0,0.0
ENSG00000173812,206.01222,16.858772,0.0,0.0
ENSG00000067082,205.97922,9.046848,0.0,0.0
ENSG00000059728,205.92424,5.65644,0.0,0.0
ENSG00000198898,205.89369,3.744953,0.0,0.0
ENSG00000133961,205.71642,4.149468,0.0,0.0
ENSG00000198502,205.65683,6.551308,0.0,0.0
ENSG00000196502,205.17908,5.2632756,0.0,0.0
ENSG00000184922,204.72775,3.7067192,0.0,0.0
ENSG00000092964,204.61247,4.1545033,0.0,0.0
ENSG00000159720,204.36105,3.8233757,0.0,0.0
ENSG00000230989,204.30144,4.0654063,0.0,0.0
ENSG00000160213,204.23047,4.303971,0.0,0.0
ENSG00000103994,204.18141,4.162162,0.0,0.0
ENSG00000104765,203.67305,3.8617463,0.0,0.0
ENSG00000135655,203.56499,4.682516,0.0,0.0
ENSG00000102144,203.55647,3.8247917,0.0,0.0
ENSG00000178719,203.48419,4.8460226,0.0,0.0
ENSG00000198712,203.10612,56.97448,0.0,0.0
ENSG00000124357,202.69664,4.2994986,0.0,0.0
ENSG00000059377,202.61752,5.0213895,0.0,0.0
ENSG00000131236,202.03604,4.161648,0.0,0.0
ENSG00000130755,201.45406,5.206441,0.0,0.0
ENSG00000140612,201.35077,3.8594232,0.0,0.0
ENSG00000162444,201.26463,7.469297,0.0,0.0
ENSG00000239998,201.02579,5.7644744,0.0,0.0
ENSG00000161642,200.92465,5.1433597,0.0,0.0
ENSG00000162783,200.89977,4.6596675,0.0,0.0
ENSG00000182220,200.76396,3.632492,0.0,0.0
ENSG00000023191,200.70744,3.7925963,0.0,0.0
ENSG00000060138,200.36934,4.1975017,0.0,0.0
ENSG00000142657,200.03113,4.970296,0.0,0.0
ENSG00000110324,199.956,3.9672759,0.0,0.0
ENSG00000122694,199.9018,3.65093,0.0,0.0
ENSG00000148834,199.83969,3.5786686,0.0,0.0
ENSG00000172354,199.74998,3.4852388,0.0,0.0
ENSG00000114331,199.5265,3.6617491,0.0,0.0
ENSG00000163466,199.29936,7.484021,0.0,0.0
ENSG00000119729,199.28127,4.043346,0.0,0.0
ENSG00000147065,199.053,4.873458,0.0,0.0
ENSG00000100079,199.01009,6.874801,0.0,0.0
ENSG00000128383,198.99301,8.542756,0.0,0.0
ENSG00000231389,198.94688,9.700698,0.0,0.0
ENSG00000179344,198.57727,4.9755564,0.0,0.0
ENSG00000111729,198.24908,4.8482647,0.0,0.0
ENSG00000149269,198.14117,4.133121,0.0,0.0
ENSG00000243449,198.10422,3.415613,0.0,0.0
ENSG00000073921,197.5903,3.916272,0.0,0.0
ENSG00000130313,196.67247,3.5323145,0.0,0.0
ENSG00000126247,196.31862,3.5295737,0.0,0.0
ENSG00000135677,196.2834,4.730979,0.0,0.0
ENSG00000174695,196.12181,3.6957164,0.0,0.0
ENSG00000109743,195.92513,6.5550957,0.0,0.0
ENSG00000114978,195.89253,3.6019442,0.0,0.0
ENSG00000163660,195.6277,4.6860995,0.0,0.0
ENSG00000135046,195.52914,7.7502337,0.0,0.0
ENSG00000179820,195.42007,4.29596,0.0,0.0
ENSG00000010610,195.25186,3.813161,0.0,0.0
ENSG00000198886,195.13399,37.284344,0.0,0.0
ENSG00000042493,195.10611,4.06612,0.0,0.0
ENSG00000173442,194.17075,3.8020067,0.0,0.0
ENSG00000140678,193.59271,4.0932336,0.0,0.0
