names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000179639,84.399185,21.324232,0.0,0.0
ENSG00000184009,84.14558,40.139168,0.0,0.0
ENSG00000140264,84.14317,19.980927,0.0,0.0
ENSG00000140319,83.9778,11.816463,0.0,0.0
ENSG00000204628,83.85579,33.49853,0.0,0.0
ENSG00000092841,83.81537,19.226103,0.0,0.0
ENSG00000149806,83.7962,36.79275,0.0,0.0
ENSG00000145592,83.57903,69.66351,0.0,0.0
ENSG00000167283,83.48974,11.966212,0.0,0.0
ENSG00000123416,83.31533,10.161512,0.0,0.0
ENSG00000166441,83.2992,51.34935,0.0,0.0
ENSG00000075415,82.926796,8.143857,0.0,0.0
ENSG00000116251,82.733345,30.501535,0.0,0.0
ENSG00000170889,82.72953,42.471924,0.0,0.0
ENSG00000026297,82.60309,8.044022,0.0,0.0
ENSG00000166794,82.54382,8.0010395,0.0,0.0
ENSG00000106153,82.4915,8.028942,0.0,0.0
ENSG00000167642,82.463005,5.399693,0.0,0.0
ENSG00000105193,82.46129,42.756496,0.0,0.0
ENSG00000124172,82.4031,22.72594,0.0,0.0
ENSG00000111229,82.385185,17.926477,0.0,0.0
ENSG00000065978,82.223366,19.430094,0.0,0.0
ENSG00000063177,82.18209,42.23566,0.0,0.0
ENSG00000132475,82.04424,29.389835,0.0,0.0
ENSG00000105640,82.006096,56.599174,0.0,0.0
ENSG00000172757,81.94782,19.64261,0.0,0.0
ENSG00000136810,81.92191,9.343705,0.0,0.0
ENSG00000160593,81.8991,8.740948,0.0,0.0
ENSG00000122406,81.87708,39.23962,0.0,0.0
ENSG00000142676,81.77238,63.581337,0.0,0.0
ENSG00000169413,81.715706,6.1482854,0.0,0.0
ENSG00000158710,81.67515,10.829915,0.0,0.0
ENSG00000131469,81.54521,26.745724,0.0,0.0
ENSG00000154518,81.47521,6.23509,0.0,0.0
ENSG00000108298,81.22859,60.651577,0.0,0.0
ENSG00000198502,81.06121,31.409533,0.0,0.0
ENSG00000198755,81.03379,31.83466,0.0,0.0
ENSG00000147604,80.99387,33.279907,0.0,0.0
ENSG00000051108,80.95186,9.164693,0.0,0.0
ENSG00000156508,80.85396,113.96059,0.0,0.0
ENSG00000145741,80.84713,14.573505,0.0,0.0
ENSG00000026025,80.77385,60.0266,0.0,0.0
ENSG00000187514,80.60485,41.008263,0.0,0.0
ENSG00000114391,80.575165,27.071169,0.0,0.0
ENSG00000084207,80.55662,17.59679,0.0,0.0
ENSG00000166428,80.5545,8.991288,0.0,0.0
ENSG00000148180,80.546936,5.564869,0.0,0.0
ENSG00000131143,80.25279,14.237227,0.0,0.0
ENSG00000180879,79.87907,7.128969,0.0,0.0
ENSG00000147649,79.80787,6.914849,0.0,0.0
ENSG00000174444,79.71413,19.224224,0.0,0.0
