gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000276747,False,PADI6,NCBITaxon:9606,gene
ENSG00000179051,False,RCC2,NCBITaxon:9606,gene
ENSG00000074964,False,ARHGEF10L,NCBITaxon:9606,gene
ENSG00000159423,False,ALDH4A1,NCBITaxon:9606,gene
ENSG00000169991,False,IFFO2,NCBITaxon:9606,gene
ENSG00000127481,False,UBR4,NCBITaxon:9606,gene
ENSG00000230424,False,EMC1-AS1,NCBITaxon:9606,gene
ENSG00000127463,False,EMC1,NCBITaxon:9606,gene
ENSG00000053372,False,MRTO4,NCBITaxon:9606,gene
ENSG00000053371,False,AKR7A2,NCBITaxon:9606,gene
ENSG00000040487,False,SLC66A1,NCBITaxon:9606,gene
ENSG00000077549,False,CAPZB,NCBITaxon:9606,gene
ENSG00000173436,False,MICOS10,NCBITaxon:9606,gene
ENSG00000158747,False,NBL1,NCBITaxon:9606,gene
ENSG00000162542,False,TMCO4,NCBITaxon:9606,gene
ENSG00000169914,False,OTUD3,NCBITaxon:9606,gene
ENSG00000117215,False,PLA2G2D,NCBITaxon:9606,gene
ENSG00000187980,False,PLA2G2C,NCBITaxon:9606,gene
ENSG00000162543,False,UBXN10,NCBITaxon:9606,gene
ENSG00000162545,False,CAMK2N1,NCBITaxon:9606,gene
ENSG00000090432,False,MUL1,NCBITaxon:9606,gene
ENSG00000158825,False,CDA,NCBITaxon:9606,gene
ENSG00000158828,False,PINK1,NCBITaxon:9606,gene
ENSG00000117242,False,PINK1-AS,NCBITaxon:9606,gene
ENSG00000244038,False,DDOST,NCBITaxon:9606,gene
ENSG00000117245,False,KIF17,NCBITaxon:9606,gene
ENSG00000127483,False,HP1BP3,NCBITaxon:9606,gene
ENSG00000075151,False,EIF4G3,NCBITaxon:9606,gene
ENSG00000117298,False,ECE1,NCBITaxon:9606,gene
ENSG00000236936,False,RP3-329E20.2,NCBITaxon:9606,gene
ENSG00000142794,False,NBPF3,NCBITaxon:9606,gene
ENSG00000090686,False,USP48,NCBITaxon:9606,gene
ENSG00000187942,False,LDLRAD2,NCBITaxon:9606,gene
ENSG00000142798,False,HSPG2,NCBITaxon:9606,gene
ENSG00000228397,False,LINC01635,NCBITaxon:9606,gene
ENSG00000070831,False,CDC42,NCBITaxon:9606,gene
ENSG00000184677,False,ZBTB40,NCBITaxon:9606,gene
ENSG00000173372,False,C1QA,NCBITaxon:9606,gene
ENSG00000159189,False,C1QC,NCBITaxon:9606,gene
ENSG00000173369,False,C1QB,NCBITaxon:9606,gene
ENSG00000133216,False,EPHB2,NCBITaxon:9606,gene
ENSG00000004487,False,KDM1A,NCBITaxon:9606,gene
ENSG00000169641,False,LUZP1,NCBITaxon:9606,gene
ENSG00000261326,False,LINC01355,NCBITaxon:9606,gene
ENSG00000125944,False,HNRNPR,NCBITaxon:9606,gene
ENSG00000125945,False,ZNF436,NCBITaxon:9606,gene
ENSG00000249087,False,ZNF436-AS1,NCBITaxon:9606,gene
ENSG00000204219,False,TCEA3,NCBITaxon:9606,gene
ENSG00000007968,False,E2F2,NCBITaxon:9606,gene
ENSG00000235052,False,RP1-150O5.3,NCBITaxon:9606,gene
ENSG00000117318,False,ID3,NCBITaxon:9606,gene
ENSG00000197880,False,MDS2,NCBITaxon:9606,gene
ENSG00000142676,False,RPL11,NCBITaxon:9606,gene
ENSG00000011007,False,ELOA,NCBITaxon:9606,gene
ENSG00000236810,False,ELOA-AS1,NCBITaxon:9606,gene
ENSG00000057757,False,PITHD1,NCBITaxon:9606,gene
ENSG00000011009,False,LYPLA2,NCBITaxon:9606,gene
ENSG00000117308,False,GALE,NCBITaxon:9606,gene
ENSG00000117305,False,HMGCL,NCBITaxon:9606,gene
ENSG00000179163,False,FUCA1,NCBITaxon:9606,gene
ENSG00000188822,False,CNR2,NCBITaxon:9606,gene
ENSG00000189266,False,PNRC2,NCBITaxon:9606,gene
ENSG00000188529,False,SRSF10,NCBITaxon:9606,gene
ENSG00000185436,False,IFNLR1,NCBITaxon:9606,gene
ENSG00000001460,False,STPG1,NCBITaxon:9606,gene
ENSG00000001461,False,NIPAL3,NCBITaxon:9606,gene
ENSG00000117602,False,RCAN3,NCBITaxon:9606,gene
ENSG00000264443,False,NCMAP-DT,NCBITaxon:9606,gene
ENSG00000133226,False,SRRM1,NCBITaxon:9606,gene
ENSG00000169504,False,CLIC4,NCBITaxon:9606,gene
ENSG00000020633,False,RUNX3,NCBITaxon:9606,gene
ENSG00000117614,False,SYF2,NCBITaxon:9606,gene
ENSG00000117616,False,RSRP1,NCBITaxon:9606,gene
ENSG00000272432,False,RP3-465N24.6,NCBITaxon:9606,gene
ENSG00000187010,False,RHD,NCBITaxon:9606,gene
ENSG00000183726,False,TMEM50A,NCBITaxon:9606,gene
ENSG00000188672,False,RHCE,NCBITaxon:9606,gene
ENSG00000204178,False,MACO1,NCBITaxon:9606,gene
ENSG00000157978,False,LDLRAP1,NCBITaxon:9606,gene
ENSG00000225643,False,RP11-70P17.1,NCBITaxon:9606,gene
ENSG00000117643,False,MAN1C1,NCBITaxon:9606,gene
ENSG00000233478,False,RP1-187B23.1,NCBITaxon:9606,gene
ENSG00000162430,False,SELENON,NCBITaxon:9606,gene
ENSG00000228172,False,RP1-317E23.3,NCBITaxon:9606,gene
ENSG00000117640,False,MTFR1L,NCBITaxon:9606,gene
ENSG00000127423,False,AUNIP,NCBITaxon:9606,gene
